date,open,high,low,close,volume
2021-10-04 04:48:00,4323.5,4323.5,4323.2,4323.2,25
2021-10-04 04:48:05,4323.2,4323.8,4323.2,4323.8,16
2021-10-04 04:48:10,4323.5,4323.5,4323.5,4323.5,5
2021-10-04 04:48:15,4323.5,4323.8,4323.5,4323.8,15
2021-10-04 04:48:20,4323.8,4323.8,4323.8,4323.8,11
2021-10-04 04:48:25,4323.8,4323.8,4323.8,4323.8,9
2021-10-04 04:48:30,4323.5,4323.5,4323.5,4323.5,31
2021-10-04 04:48:35,4323.2,4323.2,4323.0,4323.0,5
2021-10-04 04:48:40,4323.0,4323.2,4322.8,4323.2,8
2021-10-04 04:48:45,4323.8,4323.8,4323.8,4323.8,1
2021-10-04 04:48:55,4324.2,4324.5,4324.0,4324.0,58
2021-10-04 04:49:05,4323.5,4323.5,4323.5,4323.5,9
2021-10-04 04:49:10,4323.5,4323.5,4323.5,4323.5,0
2021-10-04 04:49:15,4323.8,4323.8,4323.5,4323.8,15
2021-10-04 04:49:20,4323.8,4323.8,4323.2,4323.2,20
2021-10-04 04:49:25,4323.2,4323.5,4323.2,4323.5,11
2021-10-04 04:49:35,4323.0,4323.0,4322.8,4323.0,5
2021-10-04 04:49:40,4323.0,4323.8,4323.0,4323.8,100
2021-10-04 04:49:45,4323.8,4324.0,4323.2,4323.2,15
2021-10-04 04:49:55,4323.5,4323.5,4323.5,4323.5,11
2021-10-04 04:50:00,4323.5,4323.5,4323.5,4323.5,5
2021-10-04 04:50:05,4323.5,4323.5,4323.5,4323.5,62
2021-10-04 04:50:10,4323.5,4323.5,4323.2,4323.2,7
2021-10-04 04:50:15,4323.2,4323.8,4323.2,4323.2,84
2021-10-04 04:50:20,4323.2,4323.2,4323.2,4323.2,8
2021-10-04 04:50:25,4323.2,4323.2,4323.0,4323.0,10
2021-10-04 04:50:30,4322.8,4323.0,4322.8,4323.0,14
2021-10-04 04:50:35,4323.0,4323.0,4323.0,4323.0,3
2021-10-04 04:50:40,4323.0,4323.2,4323.0,4323.2,15
2021-10-04 04:50:50,4323.8,4323.8,4323.8,4323.8,22
2021-10-04 04:50:55,4323.8,4323.8,4323.8,4323.8,11
2021-10-04 04:51:00,4324.0,4324.2,4324.0,4324.0,31
2021-10-04 04:51:05,4324.0,4324.0,4324.0,4324.0,30
2021-10-04 04:51:10,4324.0,4324.0,4324.0,4324.0,2
2021-10-04 04:51:15,4324.0,4324.0,4323.8,4323.8,18
2021-10-04 04:51:20,4323.8,4323.8,4323.8,4323.8,6
2021-10-04 04:51:25,4324.0,4324.2,4324.0,4324.0,15
2021-10-04 04:51:30,4324.2,4324.5,4324.2,4324.5,25
2021-10-04 04:51:35,4324.0,4324.0,4324.0,4324.0,3
2021-10-04 04:51:40,4324.0,4324.0,4323.8,4324.0,36
2021-10-04 04:51:45,4324.0,4324.0,4324.0,4324.0,1
2021-10-04 04:51:50,4324.0,4324.0,4324.0,4324.0,0
2021-10-04 04:51:55,4323.8,4323.8,4323.5,4323.5,12
2021-10-04 04:52:00,4323.5,4324.2,4323.5,4324.0,71
2021-10-04 04:52:05,4323.8,4323.8,4323.8,4323.8,18
2021-10-04 04:52:10,4323.8,4323.8,4323.8,4323.8,1
2021-10-04 04:52:15,4323.5,4323.8,4323.5,4323.8,5
2021-10-04 04:52:20,4324.0,4324.0,4324.0,4324.0,9
2021-10-04 04:52:30,4324.2,4324.5,4324.2,4324.5,41
2021-10-04 04:52:35,4324.5,4325.0,4324.5,4324.8,39
2021-10-04 04:52:45,4324.8,4324.8,4324.8,4324.8,4
2021-10-04 04:52:50,4324.5,4325.2,4324.5,4325.2,26
2021-10-04 04:52:55,4325.5,4325.8,4325.2,4325.5,68
2021-10-04 04:53:00,4325.2,4326.2,4325.2,4326.0,42
2021-10-04 04:53:05,4326.0,4326.2,4325.8,4325.8,49
2021-10-04 04:53:10,4325.8,4326.0,4325.8,4325.8,31
2021-10-04 04:53:15,4325.8,4325.8,4325.2,4325.5,24
